"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 13:58:28 GMT 2025","Thu Apr 10 13:58:37 GMT 2025","8786","","注文プロセスのテスト","","","","ログインし、お弁当を注文し、お弁当を受け取る",""
"passed","Thu Apr 10 13:58:37 GMT 2025","Thu Apr 10 13:58:38 GMT 2025","1193","","Generic Error Test","","","","リンク切れページにアクセス",""
