"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 12 07:18:46 GMT 2025","Sat Apr 12 07:18:47 GMT 2025","807","","Generic Error Test","","","","リンク切れページにアクセス",""
"failed","Sat Apr 12 07:18:38 GMT 2025","Sat Apr 12 07:18:46 GMT 2025","7885","","注文プロセスのテスト","","","","ログインし、お弁当を注文し、お弁当を受け取る",""
